airline,airline_ID,source_airport,source_airport_id,destination_airport,destination_airport_id
2B,410,AER,2965,KZN,2990
2B,410,ASF,2966,KZN,2990
2B,410,ASF,2966,MRV,2962
2B,410,CEK,2968,KZN,2990
2B,410,CEK,2968,OVB,4078
2B,410,DME,4029,KZN,2990
2B,410,DME,4029,NBC,6969
2B,410,DME,4029,TGK,\N
2B,410,DME,4029,UUA,6160
2B,410,EGO,6156,KGD,2952
2B,410,EGO,6156,KZN,2990
2B,410,GYD,2922,NBC,6969
2B,410,KGD,2952,EGO,6156
2B,410,KZN,2990,AER,2965
2B,410,KZN,2990,ASF,2966
2B,410,KZN,2990,CEK,2968
2B,410,KZN,2990,DME,4029
2B,410,KZN,2990,EGO,6156
2B,410,KZN,2990,LED,2948
2B,410,KZN,2990,SVX,2975
2B,410,LED,2948,KZN,2990
2B,410,LED,2948,NBC,6969
2B,410,LED,2948,UUA,6160
2B,410,MRV,2962,ASF,2966
2B,410,NBC,6969,DME,4029
2B,410,NBC,6969,GYD,2922
2B,410,NBC,6969,LED,2948
2B,410,NBC,6969,SVX,2975
2B,410,NJC,2972,SVX,2975
2B,410,NJC,2972,UUA,6160
2B,410,NUX,4364,SVX,2975
2B,410,OVB,4078,CEK,2968
2B,410,OVB,4078,SVX,2975
2B,410,SVX,2975,KZN,2990
2B,410,SVX,2975,NBC,6969
2B,410,SVX,2975,NJC,2972
2B,410,SVX,2975,NUX,4364
2B,410,SVX,2975,OVB,4078
2B,410,TGK,\N,DME,4029
2B,410,UUA,6160,DME,4029
2B,410,UUA,6160,LED,2948
2B,410,UUA,6160,NJC,2972
2G,1654,BTK,2936,IKT,2937
2G,1654,BTK,2936,OVB,4078
2G,1654,CEK,2968,OVB,4078
2G,1654,HTA,2935,IKT,2937
2G,1654,IKT,2937,BTK,2936
2G,1654,IKT,2937,HTA,2935
2G,1654,IKT,2937,KCK,\N
2G,1654,IKT,2937,ODO,8944
2G,1654,IKT,2937,OVB,4078
2G,1654,IKT,2937,UKX,6924
